,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,simplifiedMarketChannelDirectedness,farmGatePricePerKg
676,CAJAMARCA,CUTERVO,CUTERVO,2446,135,13,1.0,1.0,0.9803921568627452,1.6,0.49800000000000005,1.47,1,1,0,0,0.16949,0.008,1.04,0.0,1.05,1,2,1.3125
677,CAJAMARCA,CUTERVO,CUTERVO,2497,20,2,1.0,1.0,0.9025270758122744,1.6,0.49800000000000005,1.47,1,0,1,0,0.16949,0.04,2.0,0.0,1.05,2,1,0.6
678,CAJAMARCA,CUTERVO,CUTERVO,2497,27,3,1.0,1.0,0.8974358974358975,1.6,0.49800000000000005,1.47,1,0,1,0,0.16949,0.045,1.5714285714285716,0.0,1.05,2,2,0.4
679,CAJAMARCA,CUTERVO,CUTERVO,2497,63,7,1.0,1.0,0.5828877005347594,1.6,0.49800000000000005,1.47,1,0,1,0,0.16949,0.17,1.651376146788991,0.0,1.05,2,1,0.6
680,CAJAMARCA,CUTERVO,CUTERVO,2497,130,14,1.0,1.0,0.4794520547945205,1.6,0.49800000000000005,1.47,1,0,1,0,0.16949,0.03,1.0,0.0,1.05,2,1,0.4
681,CAJAMARCA,CUTERVO,CUTERVO,2509,107,14,0.9844134536505332,0.9602003896465352,1.0,1.6,0.49800000000000005,1.47,1,0,0,0,0.16949,0.024,1.12,0.0,1.05,1,2,1.4375
682,CAJAMARCA,CUTERVO,CUTERVO,2569,9,1,1.0,1.0,1.0,1.6,0.49800000000000005,1.47,1,0,1,0,0.16949,0.02,1.5714285714285716,0.0,1.05,2,2,1.0
683,CAJAMARCA,CUTERVO,CUTERVO,2569,39,4,1.0,1.0,0.3703703703703704,1.6,0.49800000000000005,1.47,1,0,1,0,0.16949,0.004,1.2,0.0,1.05,2,2,0.6
684,CAJAMARCA,CUTERVO,CUTERVO,2569,40,5,1.0,1.0,0.5747126436781609,1.6,0.49800000000000005,1.47,1,0,1,0,0.16949,0.09,3.0,0.0,1.05,2,2,0.9
685,CAJAMARCA,CUTERVO,CUTERVO,2569,41,6,1.0,1.0,1.0,1.6,0.49800000000000005,1.47,1,0,1,0,0.16949,0.078,2.25,0.0,1.05,2,2,0.45
