,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,marketChannelDirectedness,farmGatePricePerKg
70,ANCASH,HUARI,CHAVIN DE HUANTAR,9324,55,6,0.8852459016393442,1.0,0.5063291139240507,0.748,0.205,0.6769999999999999,1,0,0,0,0.006792,0.0216,0.000108,0.0,0.0,1,3,1.25
71,ANCASH,HUARI,CHAVIN DE HUANTAR,9324,76,9,0.7741935483870968,0.6557377049180327,0.2753623188405797,0.748,0.205,0.6769999999999999,0,0,0,0,0.006792,0.0072,0.00012126315789473684,0.0,0.0,1,4,0.5555555555555556
72,ANCASH,HUARI,CHAVIN DE HUANTAR,9324,85,10,1.0,1.0,0.13333333333333333,0.748,0.205,0.6769999999999999,0,0,0,0,0.006792,0.0036,0.00012,0.0,0.0,1,3,0.5555555555555556
73,ANCASH,HUARI,CHAVIN DE HUANTAR,9324,93,11,0.8044692737430168,1.0,0.25,0.748,0.205,0.6769999999999999,0,0,0,0,0.006792,0.00288,5.76e-05,0.0,0.0,1,4,0.5555555555555556
74,ANCASH,HUARI,CHAVIN DE HUANTAR,9324,109,13,0.5258215962441315,0.24669603524229075,0.12,0.748,0.205,0.6769999999999999,0,0,0,0,0.006792,0.00504,9.6e-05,0.0,0.0,1,4,0.5555555555555556
75,ANCASH,HUARI,CHAVIN DE HUANTAR,9339,2,1,0.8237986270022883,0.5454545454545454,0.2936857562408223,0.748,0.205,0.6769999999999999,1,0,0,0,0.006792,0.0036,0.000108,0.0,0.0,1,4,1.0
76,ANCASH,HUARI,CHAVIN DE HUANTAR,9342,59,9,1.0,1.0,0.7894736842105263,0.748,0.205,0.6769999999999999,1,0,0,0,0.006792,0.0024,0.0001066666666666667,0.0,0.0,1,2,1.0
77,ANCASH,HUARI,HUANTAR,9310,60,4,1.0,1.0,0.6,0.833,0.3,0.6769999999999999,0,0,0,0,0.00144,0.0036,0.24,0.0,0.0,1,4,0.6944444444444444
78,ANCASH,HUARI,HUANTAR,9318,106,13,1.0,1.0,0.7042253521126761,0.833,0.3,0.6769999999999999,0,0,0,0,0.00144,0.0108,0.18,0.0,0.0,1,4,1.0
79,ANCASH,HUARI,MASIN,9297,45,5,1.0,1.0,0.3595505617977528,0.833,0.298,0.6769999999999999,1,0,0,0,0.00072,0.0072,6.75e-05,0.0,0.0,1,3,1.0
80,ANCASH,HUARI,SAN MARCOS,9375,67,10,1.0,1.0,0.15625,0.8130000000000001,0.275,0.6769999999999999,0,0,0,0,0.00036,0.0036,0.000252,0.0,0.0,1,4,0.6944444444444444
81,ANCASH,HUAYLAS,PUEBLO LIBRE,8421,65,9,1.0,1.0,0.28152492668621704,0.8300000000000001,0.153,0.6769999999999999,0,0,0,1,0.002459,0.0072,0.000135,0.0,0.0,1,1,0.6944444444444444
82,ANCASH,HUAYLAS,PUEBLO LIBRE,8425,2,1,0.925925925925926,0.8865248226950354,0.35185185185185186,0.8300000000000001,0.153,0.6769999999999999,1,1,0,0,0.002459,0.00875,0.9578947368421052,0.0,0.0,1,2,0.7142857142857143
83,ANCASH,HUAYLAS,PUEBLO LIBRE,8425,26,4,0.75,1.0,0.1388888888888889,0.8300000000000001,0.153,0.6769999999999999,0,0,0,0,0.002459,0.00216,0.00011520000000000001,0.0,0.0,1,3,0.6944444444444444
