,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,marketChannelDirectedness,farmGatePricePerKg
147,JUNIN,JAUJA,PARCO,11627,16,1,0.7908611599297012,0.5597014925373134,0.2516295116112878,0.4980000000000001,0.105,0.645,1,0,0,0,0.0195,0.09,0.00012352853979854262,0.0,0.0,1,2,0.5
148,JUNIN,JAUJA,POMACANCHA,11568,29,3,0.9395604395604396,0.8662613981762918,0.75,0.5730000000000001,0.157,0.645,1,0,0,0,0.054689999999999996,0.0855,0.00014133333333333332,0.0,0.0,1,2,0.5
149,JUNIN,JAUJA,POMACANCHA,11568,81,9,1.0,1.0,0.75,0.5730000000000001,0.157,0.645,1,0,0,0,0.054689999999999996,0.07,0.000144,0.0,0.0,1,2,0.5
150,JUNIN,JAUJA,POMACANCHA,11568,110,12,1.0,1.0,0.5,0.5730000000000001,0.157,0.645,0,0,0,0,0.054689999999999996,0.06,0.000134,0.0,0.0,1,2,0.5
151,JUNIN,JAUJA,POMACANCHA,11568,120,13,1.0,1.0,1.0,0.5730000000000001,0.157,0.645,0,0,0,0,0.054689999999999996,0.085,0.000144,0.0,0.0,1,2,0.6
152,JUNIN,JAUJA,POMACANCHA,11568,129,14,1.0,1.0,1.0,0.5730000000000001,0.157,0.645,1,0,0,0,0.054689999999999996,0.09300000000000001,0.00014933333333333335,0.0,0.0,1,2,0.5
153,JUNIN,JAUJA,SINCOS,11613,55,10,0.7841726618705036,0.6942675159235668,0.18181818181818185,0.532,0.067,0.645,0,0,0,0,0.00872,0.0872,1.232,0.0,0.0,3,2,0.5
154,JUNIN,JUNIN,ULCUMAYO,10900,47,5,0.9266409266409268,0.8253219662615636,0.875,0.583,0.41,0.645,1,0,0,0,0.11181500000000001,0.084,0.14,0.0,0.0,1,2,1.0714285714285714
155,JUNIN,JUNIN,ULCUMAYO,10900,133,13,0.75,0.7418032786885246,0.5,0.583,0.41,0.645,1,0,0,0,0.11181500000000001,0.0945,0.385,0.0,0.0,1,2,0.9285714285714286
156,JUNIN,JUNIN,ULCUMAYO,10908,21,2,0.8940397350993378,0.849443468072642,0.875,0.583,0.41,0.645,1,0,0,0,0.11181500000000001,0.0675,0.17157142857142854,0.0,0.0,1,2,1.3416666666666668
157,JUNIN,JUNIN,ULCUMAYO,10908,46,6,0.6571428571428571,0.6592592592592592,0.5714285714285714,0.583,0.41,0.645,1,0,0,0,0.11181500000000001,0.0805,0.14875,0.0,0.0,3,2,1.0714285714285714
158,JUNIN,JUNIN,ULCUMAYO,10908,108,13,0.6693567529076667,0.4723523898781631,0.5714285714285714,0.583,0.41,0.645,1,0,0,0,0.11181500000000001,0.0564,0.17625,0.0,0.0,1,2,0.9375
159,JUNIN,TARMA,ACOBAMBA,10985,21,3,0.3125,0.3688524590163935,0.14245014245014245,0.525,0.248,0.645,0,0,0,0,0.01518,0.06,1.3333333333333333,0.0,0.06,3,2,0.75
