,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,simplifiedMarketChannelDirectedness,farmGatePricePerKg
174,HUANUCO,PACHITEA,PANAO,9984,90,13,0.8927859705061778,0.9132420091324199,0.6511627906976744,1.0,0.17300000000000001,0.82,0,0,0,0,1.2179799999999998,0.336,2.66,0.0,0.04,3,1,0.7142857142857143
175,HUANUCO,PACHITEA,PANAO,9984,98,14,0.4817204301075269,0.3925417075564279,0.3333333333333333,1.0,0.17300000000000001,0.82,0,0,0,0,1.2179799999999998,0.11199999999999999,2.52,0.0,0.04,3,1,0.7142857142857143
176,HUANUCO,PACHITEA,PANAO,9989,57,6,1.0,1.0,0.7751937984496123,1.0,0.17300000000000001,0.82,1,1,0,0,1.2179799999999998,0.11199999999999999,2.59,0.0,0.04,1,1,0.5
177,HUANUCO,YAROWILCA,CHORAS,10280,68,6,0.9896907216494846,0.9908496732026144,0.9273889050246876,1.04,0.253,0.82,0,0,0,0,0.09695,0.768,2.668336987159411,0.0,0.0,1,1,3.1
178,JUNIN,CHUPACA,CHUPACA,11779,12,2,0.25420254202542025,0.13759431868619618,0.24390243902439024,0.575,0.037000000000000005,0.645,1,0,1,0,0.094855,0.31,0.64,0.0,0.41,3,1,1.0
179,JUNIN,CONCEPCION,NUEVE DE JULIO,11680,34,6,0.7362637362637363,0.6614950634696756,0.5547736335913677,0.55,0.062,0.645,1,0,1,0,0.0531,0.335,1.4164904862579282,0.0,0.0,3,1,1.05
180,JUNIN,CONCEPCION,ORCOTUNA,11705,7,1,0.9389312977099236,0.8907103825136612,0.5169082125603864,0.55,0.048,0.645,1,0,0,0,0.02114,0.12300000000000001,1.4392523364485983,0.0,0.0,2,2,1.7
181,JUNIN,JAUJA,APATA,11496,41,9,0.18754688672168046,0.13537498871875095,0.14285714285714285,0.545,0.08800000000000001,0.645,1,0,0,0,0.04115,0.15,1.72,0.0,0.0,3,1,0.6
182,JUNIN,JUNIN,ULCUMAYO,10900,69,8,1.0,1.0,1.0,0.583,0.41,0.645,1,0,0,0,0.11181500000000001,0.154,0.205625,0.0,0.0,1,1,0.5
183,JUNIN,TARMA,HUASAHUASI,10943,51,8,0.5545102379634754,0.4252873563218391,0.5220417633410672,0.693,0.445,0.645,0,0,0,0,0.08565,0.2004,1.3333333333333337,0.0,0.12,1,1,0.9
184,JUNIN,TARMA,HUASAHUASI,10943,86,12,0.8810572687224669,0.6896551724137931,0.8,0.693,0.445,0.645,0,0,0,0,0.08565,0.2,1.0,0.0,0.12,1,1,0.6
185,JUNIN,TARMA,HUASAHUASI,10943,98,14,0.9369024856596558,0.7601744186046512,0.7758620689655172,0.693,0.445,0.645,0,0,0,0,0.08565,0.196,2.5866666666666664,0.0,0.12,1,1,0.9
186,JUNIN,TARMA,PALCAMAYO,10951,80,8,1.0,1.0,1.0,0.5269999999999999,0.28500000000000003,0.645,1,0,0,0,0.02694,0.18,1.6363636363636362,0.0,0.0,3,1,0.9666666666666668
187,JUNIN,TARMA,TAPO,11000,12,3,0.954070981210856,0.9239748118568576,0.9299474605954464,0.5700000000000001,0.3,0.645,0,0,0,0,0.09129,0.2742,1.0553672316384182,0.0,0.0,1,1,2.829938271604938
188,JUNIN,TARMA,TAPO,11000,58,8,0.84375,0.7697368421052632,0.7297297297297297,0.5700000000000001,0.3,0.645,0,0,0,0,0.09129,0.162,1.4222222222222218,0.0,0.0,1,1,0.7166666666666667
189,JUNIN,TARMA,TAPO,11000,71,10,0.8786610878661087,0.7814070351758794,0.5454545454545455,0.5700000000000001,0.3,0.645,0,0,0,0,0.09129,0.126,2.3,0.0,0.0,1,1,0.9666666666666668
190,LA LIBERTAD,JULCAN,CALAMARCA,7566,3,1,0.4566728123670402,0.2963485623566767,0.24186721489902044,1.04,0.412,0.853,1,0,1,0,0.05701799999999999,0.1288,0.92,0.0,0.0,1,1,0.7826086956521741
191,LA LIBERTAD,JULCAN,CALAMARCA,7567,84,10,0.8533333333333334,0.7841001905799074,0.4444444444444444,1.04,0.412,0.853,1,0,0,0,0.05701799999999999,0.184,1.15,0.0,0.0,1,1,0.7826086956521741
192,LA LIBERTAD,JULCAN,JULCAN,7546,152,14,0.8937256809338522,0.7364341085271318,0.3333333333333333,1.03,0.228,0.853,1,0,0,0,0.09308175,0.18375,2.87,0.0,0.0,1,1,0.72
193,LA LIBERTAD,OTUZCO,AGALLPAMPA,7354,33,4,0.9603022543735564,0.8694195050535339,0.7666517657577111,0.975,0.172,0.853,1,1,0,0,0.054685000000000004,0.5363,1.7653061224489797,0.0,0.0,3,1,2.59
